"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"16:59:37:08","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:09","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:10","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:11","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:12","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:13","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:14","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:15","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:16","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:17","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:18","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:19","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:20","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:21","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:22","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:37:23","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:38:00","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.4","1.1","ARRI ALEXA 35"
"16:59:38:01","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.5","1.1","ARRI ALEXA 35"
"16:59:38:02","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.5","1.1","ARRI ALEXA 35"
"16:59:38:03","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.5","1.1","ARRI ALEXA 35"
"16:59:38:04","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.861","1.5","1.1","ARRI ALEXA 35"
"16:59:38:05","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.877","1.5","1.1","ARRI ALEXA 35"
"16:59:38:06","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","7.907","1.5","1.1","ARRI ALEXA 35"
"16:59:38:07","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.114","1.5","1.1","ARRI ALEXA 35"
"16:59:38:08","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.268","1.5","1.1","ARRI ALEXA 35"
"16:59:38:09","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.5","1.1","ARRI ALEXA 35"
"16:59:38:10","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:11","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:12","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:13","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:14","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:15","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:16","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:17","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:18","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:19","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:20","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:21","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:22","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:38:23","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:39:00","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:39:01","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:39:02","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:39:03","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.6","1.1","ARRI ALEXA 35"
"16:59:39:04","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.7","1.1","ARRI ALEXA 35"
"16:59:39:05","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.7","1.1","ARRI ALEXA 35"
"16:59:39:06","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.7","1.1","ARRI ALEXA 35"
"16:59:39:07","B_0014C003_250528_155814_h1CZ7","COOKE S4 918","918","40","T 2 4/10","8.563","1.7","1.1","ARRI ALEXA 35"
