"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"10:35:53:22","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2","0.6","ARRI ALEXA 35"
"10:35:53:23","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2","0.6","ARRI ALEXA 35"
"10:35:54:00","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2","0.6","ARRI ALEXA 35"
"10:35:54:01","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2","0.6","ARRI ALEXA 35"
"10:35:54:02","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2","0.6","ARRI ALEXA 35"
"10:35:54:03","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2","0.6","ARRI ALEXA 35"
"10:35:54:04","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:05","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:06","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:07","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:08","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:09","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:10","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:11","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:12","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:13","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:14","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:15","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:16","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:17","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:18","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:19","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:20","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:21","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:22","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:54:23","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:00","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:01","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:02","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:03","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:04","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:05","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:06","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:07","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:08","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:09","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:10","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:11","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:12","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.278","2.1","0.6","ARRI ALEXA 35"
"10:35:55:13","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","9.229","2.1","0.6","ARRI ALEXA 35"
"10:35:55:14","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","8.914","2.1","0.6","ARRI ALEXA 35"
"10:35:55:15","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","8.599","2.1","0.6","ARRI ALEXA 35"
"10:35:55:16","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","8.478","2.1","0.6","ARRI ALEXA 35"
"10:35:55:17","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","8.045","2.1","0.6","ARRI ALEXA 35"
"10:35:55:18","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","7.953","2.1","0.6","ARRI ALEXA 35"
"10:35:55:19","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","7.415","2.1","0.6","ARRI ALEXA 35"
"10:35:55:20","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","7.241","2.1","0.6","ARRI ALEXA 35"
"10:35:55:21","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.726","2.1","0.4","ARRI ALEXA 35"
"10:35:55:22","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.65","2.2","0.4","ARRI ALEXA 35"
"10:35:55:23","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.65","2.2","0.4","ARRI ALEXA 35"
"10:35:56:00","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.572","2.2","0.4","ARRI ALEXA 35"
"10:35:56:01","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.572","2.2","0.4","ARRI ALEXA 35"
"10:35:56:02","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.562","2.2","0.6","ARRI ALEXA 35"
"10:35:56:03","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.545","2.2","0.6","ARRI ALEXA 35"
"10:35:56:04","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.44","2","0.6","ARRI ALEXA 35"
"10:35:56:05","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.129","2","0.6","ARRI ALEXA 35"
"10:35:56:06","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.096","2","0.6","ARRI ALEXA 35"
"10:35:56:07","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.056","2","0.6","ARRI ALEXA 35"
"10:35:56:08","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.033","2","0.6","ARRI ALEXA 35"
"10:35:56:09","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.02","2","0.4","ARRI ALEXA 35"
"10:35:56:10","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","6.014","2","0.4","ARRI ALEXA 35"
"10:35:56:11","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","5.965","2.2","0.4","ARRI ALEXA 35"
"10:35:56:12","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","5.889","2.2","0.4","ARRI ALEXA 35"
"10:35:56:13","B_0009C003_250527_093432_h1CZ7","COOKE S4 918","918","25","T 2.8","5.768","2.2","0.5","ARRI ALEXA 35"
