"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"12:42:54:12","A_0012C001_250527_114214_h1CBB","COOKE S4 949","949","65","T 2 8/10","5.696","5.2","-0.7","ARRI ALEXA 35"
"12:42:54:13","A_0012C001_250527_114214_h1CBB","COOKE S4 949","949","65","T 2 8/10","5.696","5.2","-0.7","ARRI ALEXA 35"
"12:42:54:14","A_0012C001_250527_114214_h1CBB","COOKE S4 949","949","65","T 2 8/10","5.696","5.2","-0.7","ARRI ALEXA 35"
"12:42:54:15","A_0012C001_250527_114214_h1CBB","COOKE S4 949","949","65","T 2 8/10","5.696","5.2","-0.7","ARRI ALEXA 35"
"12:42:54:16","A_0012C001_250527_114214_h1CBB","COOKE S4 949","949","65","T 2 8/10","5.696","5.2","-0.7","ARRI ALEXA 35"
"12:42:54:17","A_0012C001_250527_114214_h1CBB","COOKE S4 949","949","65","T 2 8/10","5.696","5.2","-0.7","ARRI ALEXA 35"
"12:42:54:18","A_0012C001_250527_114214_h1CBB","COOKE S4 949","949","65","T 2 8/10","5.692","5.2","-0.7","ARRI ALEXA 35"
"12:42:54:19","A_0012C001_250527_114214_h1CBB","COOKE S4 949","949","65","T 2 8/10","5.692","5.2","-0.7","ARRI ALEXA 35"
"12:42:54:20","A_0012C001_250527_114214_h1CBB","COOKE S4 949","949","65","T 2 8/10","5.692","5.2","-0.7","ARRI ALEXA 35"
"12:42:54:21","A_0012C001_250527_114214_h1CBB","COOKE S4 949","949","65","T 2 8/10","5.692","5.2","-0.7","ARRI ALEXA 35"
"12:42:54:22","A_0012C001_250527_114214_h1CBB","COOKE S4 949","949","65","T 2 8/10","5.692","5.2","-0.7","ARRI ALEXA 35"
"12:42:54:23","A_0012C001_250527_114214_h1CBB","COOKE S4 949","949","65","T 2 8/10","5.692","5.2","-0.7","ARRI ALEXA 35"
