"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"11:17:57:20","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.8","0","ARRI ALEXA 35"
"11:17:57:21","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.8","0","ARRI ALEXA 35"
"11:17:57:22","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.8","0.2","ARRI ALEXA 35"
"11:17:57:23","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.8","0.2","ARRI ALEXA 35"
"11:17:58:00","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.8","0","ARRI ALEXA 35"
"11:17:58:01","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.8","0","ARRI ALEXA 35"
"11:17:58:02","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.8","0","ARRI ALEXA 35"
"11:17:58:03","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.8","0","ARRI ALEXA 35"
"11:17:58:04","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.9","0","ARRI ALEXA 35"
"11:17:58:05","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.9","0","ARRI ALEXA 35"
"11:17:58:06","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.9","0","ARRI ALEXA 35"
"11:17:58:07","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.9","0","ARRI ALEXA 35"
"11:17:58:08","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.9","0","ARRI ALEXA 35"
"11:17:58:09","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.9","0","ARRI ALEXA 35"
"11:17:58:10","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.9","0","ARRI ALEXA 35"
"11:17:58:11","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.9","0","ARRI ALEXA 35"
"11:17:58:12","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-1.9","0","ARRI ALEXA 35"
"11:17:58:13","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-2","0","ARRI ALEXA 35"
"11:17:58:14","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.332","-2","0","ARRI ALEXA 35"
"11:17:58:15","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.339","-2","0","ARRI ALEXA 35"
"11:17:58:16","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.339","-2","0","ARRI ALEXA 35"
"11:17:58:17","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.339","-2","0","ARRI ALEXA 35"
"11:17:58:18","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.339","-2","0","ARRI ALEXA 35"
"11:17:58:19","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.339","-2","0","ARRI ALEXA 35"
"11:17:58:20","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","6.178","-1.8","0","ARRI ALEXA 35"
"11:17:58:21","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","5.968","-1.8","0","ARRI ALEXA 35"
"11:17:58:22","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","5.722","-1.9","0","ARRI ALEXA 35"
"11:17:58:23","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","5.581","-1.9","0.1","ARRI ALEXA 35"
"11:17:59:00","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","5.213","-1.9","0.1","ARRI ALEXA 35"
"11:17:59:01","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","4.97","-1.9","0.1","ARRI ALEXA 35"
"11:17:59:02","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","4.879","-2","0.1","ARRI ALEXA 35"
"11:17:59:03","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","4.662","-2.1","0.1","ARRI ALEXA 35"
"11:17:59:04","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","4.482","-2.1","0.1","ARRI ALEXA 35"
"11:17:59:05","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","4.321","-2.1","0.1","ARRI ALEXA 35"
"11:17:59:06","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","4.249","-2.1","-0.1","ARRI ALEXA 35"
"11:17:59:07","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","4.098","-2.1","-0.1","ARRI ALEXA 35"
"11:17:59:08","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.999","-2.1","-0.1","ARRI ALEXA 35"
"11:17:59:09","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.973","-2.2","-0.1","ARRI ALEXA 35"
"11:17:59:10","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.891","-2.2","-0.1","ARRI ALEXA 35"
"11:17:59:11","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.871","-2.2","-0.1","ARRI ALEXA 35"
"11:17:59:12","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.832","-2.2","0","ARRI ALEXA 35"
"11:17:59:13","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.809","-2.2","0.2","ARRI ALEXA 35"
"11:17:59:14","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.799","-2.2","0.2","ARRI ALEXA 35"
"11:17:59:15","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.776","-1.8","0.2","ARRI ALEXA 35"
"11:17:59:16","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.773","-1.8","0.2","ARRI ALEXA 35"
"11:17:59:17","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.763","-1.8","0","ARRI ALEXA 35"
"11:17:59:18","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.75","-1.8","0","ARRI ALEXA 35"
"11:17:59:19","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.75","-2.1","0","ARRI ALEXA 35"
"11:17:59:20","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.743","-2.1","0","ARRI ALEXA 35"
"11:17:59:21","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.74","-2.1","0","ARRI ALEXA 35"
"11:17:59:22","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.737","-2.5","0","ARRI ALEXA 35"
"11:17:59:23","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.734","-2.5","0.2","ARRI ALEXA 35"
"11:18:00:00","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.73","-2.5","0.2","ARRI ALEXA 35"
"11:18:00:01","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.72","-2.2","0.2","ARRI ALEXA 35"
"11:18:00:02","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.717","-2.2","0","ARRI ALEXA 35"
"11:18:00:03","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.704","-2.2","0","ARRI ALEXA 35"
"11:18:00:04","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.698","-1.9","0","ARRI ALEXA 35"
"11:18:00:05","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.698","-1.9","0","ARRI ALEXA 35"
"11:18:00:06","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.691","-1.9","0","ARRI ALEXA 35"
"11:18:00:07","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.691","-1.9","0","ARRI ALEXA 35"
"11:18:00:08","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.688","-1.9","0.1","ARRI ALEXA 35"
"11:18:00:09","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.688","-1.9","0.1","ARRI ALEXA 35"
"11:18:00:10","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.688","-1.9","0.2","ARRI ALEXA 35"
"11:18:00:11","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.688","-1.6","0.2","ARRI ALEXA 35"
"11:18:00:12","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.688","-1.6","0.2","ARRI ALEXA 35"
"11:18:00:13","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.684","-1.7","0.2","ARRI ALEXA 35"
"11:18:00:14","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.684","-1.7","0.2","ARRI ALEXA 35"
"11:18:00:15","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.688","-1.7","0.2","ARRI ALEXA 35"
"11:18:00:16","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.694","-2","0.2","ARRI ALEXA 35"
"11:18:00:17","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.694","-2.1","0","ARRI ALEXA 35"
"11:18:00:18","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.707","-2.1","0","ARRI ALEXA 35"
"11:18:00:19","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.707","-2.1","0","ARRI ALEXA 35"
"11:18:00:20","A_0021C006_250529_111735_h1EI5","COOKE S4 911","911","35","T 2 1/10","3.707","-2.1","0","ARRI ALEXA 35"
