"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"09:47:53:00","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","8.78","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:01","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","8.707","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:02","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","8.468","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:03","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","8.419","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:04","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","8.323","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:05","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","8.307","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:06","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","8.307","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:07","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","8.301","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:08","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","8.274","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:09","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","7.9","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:10","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","7.73","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:11","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","7.201","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:12","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","6.719","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:13","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","6.224","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:14","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","5.84","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:15","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","5.515","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:16","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","5.249","-21.9","1.5","ARRI ALEXA 35"
"09:47:53:17","D_0004C004_250521_094731_h1EI5","COOKE S4 753","753","40","T 2.8 2/10","5.177","-21.6","1.5","ARRI ALEXA 35"
