"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"14:50:20:09","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.427","0","0.1","ARRI ALEXA 35"
"14:50:20:10","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.427","0","0.1","ARRI ALEXA 35"
"14:50:20:11","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.427","0","0.1","ARRI ALEXA 35"
"14:50:20:12","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.427","0","0.1","ARRI ALEXA 35"
"14:50:20:13","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.427","0","0.1","ARRI ALEXA 35"
"14:50:20:14","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.427","0","0.1","ARRI ALEXA 35"
"14:50:20:15","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.427","0","0.1","ARRI ALEXA 35"
"14:50:20:16","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.427","0","0.1","ARRI ALEXA 35"
"14:50:20:17","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.427","0","0.1","ARRI ALEXA 35"
"14:50:20:18","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.423","0","0.1","ARRI ALEXA 35"
"14:50:20:19","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.423","0","0.1","ARRI ALEXA 35"
"14:50:20:20","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.423","0","0.1","ARRI ALEXA 35"
"14:50:20:21","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.423","0","0.1","ARRI ALEXA 35"
"14:50:20:22","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.423","0","0.1","ARRI ALEXA 35"
"14:50:20:23","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.423","0","0.1","ARRI ALEXA 35"
"14:50:21:00","A_0005C007_250522_134941_h1CBB","COOKE S4 754","754","27","","5.423","0","0.1","ARRI ALEXA 35"
