"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"15:27:44:09","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.2","0.5","ARRI ALEXA 35"
"15:27:44:10","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.2","0.5","ARRI ALEXA 35"
"15:27:44:11","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.2","0.2","ARRI ALEXA 35"
"15:27:44:12","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.2","0.2","ARRI ALEXA 35"
"15:27:44:13","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.4","0.4","ARRI ALEXA 35"
"15:27:44:14","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.6","0.4","ARRI ALEXA 35"
"15:27:44:15","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.6","0.4","ARRI ALEXA 35"
"15:27:44:16","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.6","0.4","ARRI ALEXA 35"
"15:27:44:17","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.6","0.4","ARRI ALEXA 35"
"15:27:44:18","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.6","0.4","ARRI ALEXA 35"
"15:27:44:19","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.6","0.4","ARRI ALEXA 35"
"15:27:44:20","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.4","0.4","ARRI ALEXA 35"
"15:27:44:21","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.4","0.4","ARRI ALEXA 35"
"15:27:44:22","B_0013C004_250528_142621_h1CZ7","COOKE S4 918","918","40","T 2 4/10","4.974","-1.1","0.4","ARRI ALEXA 35"
