"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"17:05:20:04","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.629","-3.4","0.3","ARRI ALEXA 35"
"17:05:20:05","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.629","-3.4","0.3","ARRI ALEXA 35"
"17:05:20:06","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.629","-3.4","0.3","ARRI ALEXA 35"
"17:05:20:07","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.632","-3.4","0.3","ARRI ALEXA 35"
"17:05:20:08","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.635","-3.4","0.3","ARRI ALEXA 35"
"17:05:20:09","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.635","-3.4","0.3","ARRI ALEXA 35"
"17:05:20:10","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.635","-3.4","0.3","ARRI ALEXA 35"
"17:05:20:11","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.635","-3.4","0.3","ARRI ALEXA 35"
"17:05:20:12","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.635","-3.4","0.3","ARRI ALEXA 35"
"17:05:20:13","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.635","-3.4","0.3","ARRI ALEXA 35"
"17:05:20:14","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.635","-3.2","0.3","ARRI ALEXA 35"
"17:05:20:15","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.648","-3.2","0.3","ARRI ALEXA 35"
"17:05:20:16","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.629","-3.2","0.3","ARRI ALEXA 35"
"17:05:20:17","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.619","-3.2","0.3","ARRI ALEXA 35"
"17:05:20:18","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.612","-3.2","0.3","ARRI ALEXA 35"
"17:05:20:19","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.612","-3.2","0.3","ARRI ALEXA 35"
"17:05:20:20","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.612","-3.2","0.1","ARRI ALEXA 35"
"17:05:20:21","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.612","-3.2","0.1","ARRI ALEXA 35"
"17:05:20:22","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.606","-3.2","0.1","ARRI ALEXA 35"
"17:05:20:23","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.606","-3.2","0.1","ARRI ALEXA 35"
"17:05:21:00","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.606","-3.2","0.1","ARRI ALEXA 35"
"17:05:21:01","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.606","-3.2","0.1","ARRI ALEXA 35"
"17:05:21:02","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.606","-3.2","0.3","ARRI ALEXA 35"
"17:05:21:03","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.606","-3.4","0.3","ARRI ALEXA 35"
"17:05:21:04","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.609","-3.8","0.3","ARRI ALEXA 35"
"17:05:21:05","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.609","-4","0.4","ARRI ALEXA 35"
"17:05:21:06","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.612","-4","0.4","ARRI ALEXA 35"
"17:05:21:07","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.629","-4.2","0.4","ARRI ALEXA 35"
"17:05:21:08","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.635","-4.2","0.4","ARRI ALEXA 35"
"17:05:21:09","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.638","-4.2","0.4","ARRI ALEXA 35"
"17:05:21:10","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.642","-4.2","0.4","ARRI ALEXA 35"
"17:05:21:11","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.658","-4.2","0.4","ARRI ALEXA 35"
"17:05:21:12","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.671","-4.2","0.5","ARRI ALEXA 35"
"17:05:21:13","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.684","-4.2","0.5","ARRI ALEXA 35"
"17:05:21:14","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.717","-4.2","0.5","ARRI ALEXA 35"
"17:05:21:15","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.734","-4.2","0.5","ARRI ALEXA 35"
"17:05:21:16","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.747","-3.9","0.5","ARRI ALEXA 35"
"17:05:21:17","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.76","-3.9","0.5","ARRI ALEXA 35"
"17:05:21:18","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.766","-3.9","0.5","ARRI ALEXA 35"
"17:05:21:19","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.776","-3.9","0.5","ARRI ALEXA 35"
"17:05:21:20","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.776","-3.9","0.5","ARRI ALEXA 35"
"17:05:21:21","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.776","-3.9","0.5","ARRI ALEXA 35"
"17:05:21:22","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.776","-3.9","0.5","ARRI ALEXA 35"
"17:05:21:23","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.77","-3.9","0.3","ARRI ALEXA 35"
"17:05:22:00","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.757","-3.9","0.3","ARRI ALEXA 35"
"17:05:22:01","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.747","-3.9","0.3","ARRI ALEXA 35"
"17:05:22:02","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.724","-3.9","0.3","ARRI ALEXA 35"
"17:05:22:03","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.717","-3.9","0.3","ARRI ALEXA 35"
"17:05:22:04","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.698","-3.9","0.3","ARRI ALEXA 35"
"17:05:22:05","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.671","-3.9","0.3","ARRI ALEXA 35"
"17:05:22:06","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.642","-3.9","0.3","ARRI ALEXA 35"
"17:05:22:07","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.635","-3.7","0.3","ARRI ALEXA 35"
"17:05:22:08","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.615","-3.7","0.3","ARRI ALEXA 35"
"17:05:22:09","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.593","-3.7","0.3","ARRI ALEXA 35"
"17:05:22:10","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.583","-3.7","0.3","ARRI ALEXA 35"
"17:05:22:11","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.553","-3.7","0.3","ARRI ALEXA 35"
"17:05:22:12","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.543","-3.7","0.3","ARRI ALEXA 35"
"17:05:22:13","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.501","-3.7","0.3","ARRI ALEXA 35"
"17:05:22:14","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.497","-3.8","0.3","ARRI ALEXA 35"
"17:05:22:15","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.471","-3.8","0.3","ARRI ALEXA 35"
"17:05:22:16","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.455","-3.8","0.3","ARRI ALEXA 35"
"17:05:22:17","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.445","-3.8","0.3","ARRI ALEXA 35"
"17:05:22:18","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.419","-3.8","0.3","ARRI ALEXA 35"
"17:05:22:19","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.419","-3.8","0.3","ARRI ALEXA 35"
"17:05:22:20","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.412","-3.8","0.3","ARRI ALEXA 35"
"17:05:22:21","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.412","-3.8","0.3","ARRI ALEXA 35"
"17:05:22:22","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.412","-3.8","0.3","ARRI ALEXA 35"
"17:05:22:23","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.412","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:00","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.419","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:01","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.442","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:02","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.461","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:03","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.488","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:04","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.494","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:05","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.51","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:06","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.53","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:07","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.55","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:08","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.56","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:09","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.57","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:10","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:11","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:12","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:13","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:14","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:15","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:16","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:17","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:18","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:19","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:20","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:21","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:22","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:23:23","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:24:00","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:24:01","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:24:02","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.573","-3.8","0.3","ARRI ALEXA 35"
"17:05:24:03","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.576","-3.8","0.3","ARRI ALEXA 35"
"17:05:24:04","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.576","-3.8","0.3","ARRI ALEXA 35"
"17:05:24:05","A_0015C005_250527_170456_h1EI5","COOKE S4 962","962","50","T 2.8 3/10","3.576","-3.8","0.3","ARRI ALEXA 35"
