"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"12:24:25:22","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.217","-0.3","1.1","ARRI ALEXA 35"
"12:24:25:23","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.217","-0.3","1.1","ARRI ALEXA 35"
"12:24:26:00","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.217","-0.3","1.1","ARRI ALEXA 35"
"12:24:26:01","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.217","-0.3","1.1","ARRI ALEXA 35"
"12:24:26:02","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.217","-0.1","1.1","ARRI ALEXA 35"
"12:24:26:03","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.217","-0.1","1.1","ARRI ALEXA 35"
"12:24:26:04","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.217","-0.1","1.1","ARRI ALEXA 35"
"12:24:26:05","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.217","-0.1","1.1","ARRI ALEXA 35"
"12:24:26:06","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.213","-0.1","1.1","ARRI ALEXA 35"
"12:24:26:07","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.213","-0.1","1.1","ARRI ALEXA 35"
"12:24:26:08","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.213","-0.1","1.1","ARRI ALEXA 35"
"12:24:26:09","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.213","-0.1","1.1","ARRI ALEXA 35"
"12:24:26:10","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.213","-0.1","1.1","ARRI ALEXA 35"
"12:24:26:11","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.213","-0.1","1.1","ARRI ALEXA 35"
"12:24:26:12","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.213","-0.1","1.1","ARRI ALEXA 35"
"12:24:26:13","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.213","-0.1","1.1","ARRI ALEXA 35"
"12:24:26:14","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.213","0","1.1","ARRI ALEXA 35"
"12:24:26:15","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.213","0","1.1","ARRI ALEXA 35"
"12:24:26:16","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0","1.1","ARRI ALEXA 35"
"12:24:26:17","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0","1.1","ARRI ALEXA 35"
"12:24:26:18","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0","1.1","ARRI ALEXA 35"
"12:24:26:19","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0","1.1","ARRI ALEXA 35"
"12:24:26:20","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0","1.1","ARRI ALEXA 35"
"12:24:26:21","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0.1","1.1","ARRI ALEXA 35"
"12:24:26:22","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0.1","1.1","ARRI ALEXA 35"
"12:24:26:23","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0.1","1.1","ARRI ALEXA 35"
"12:24:27:00","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0.1","1.1","ARRI ALEXA 35"
"12:24:27:01","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0.1","1.1","ARRI ALEXA 35"
"12:24:27:02","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0.1","1.1","ARRI ALEXA 35"
"12:24:27:03","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0.1","1.1","ARRI ALEXA 35"
"12:24:27:04","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0.1","1.1","ARRI ALEXA 35"
"12:24:27:05","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0.1","1.1","ARRI ALEXA 35"
"12:24:27:06","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.21","0.1","1.1","ARRI ALEXA 35"
"12:24:27:07","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:08","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:09","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:10","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:11","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:12","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:13","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:14","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:15","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:16","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:17","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:18","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:19","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:20","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:21","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.1","1.1","ARRI ALEXA 35"
"12:24:27:22","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.2","1.1","ARRI ALEXA 35"
"12:24:27:23","D_0002C017_250520_122408_h1EI5","COOKE S4 955","955","32","T 2.8 1/10","5.203","0.2","1.1","ARRI ALEXA 35"
