"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"16:51:47:05","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1","ARRI ALEXA 35"
"16:51:47:06","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1","ARRI ALEXA 35"
"16:51:47:07","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1","ARRI ALEXA 35"
"16:51:47:08","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1","ARRI ALEXA 35"
"16:51:47:09","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1","ARRI ALEXA 35"
"16:51:47:10","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1","ARRI ALEXA 35"
"16:51:47:11","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1","ARRI ALEXA 35"
"16:51:47:12","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1","ARRI ALEXA 35"
"16:51:47:13","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1.1","ARRI ALEXA 35"
"16:51:47:14","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1.1","ARRI ALEXA 35"
"16:51:47:15","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1.1","ARRI ALEXA 35"
"16:51:47:16","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1.1","ARRI ALEXA 35"
"16:51:47:17","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1.1","ARRI ALEXA 35"
"16:51:47:18","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1.1","ARRI ALEXA 35"
"16:51:47:19","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1.1","ARRI ALEXA 35"
"16:51:47:20","B_0007C001_250522_155029_h1CZ7","COOKE S4 752","752","27","T 2.8 1/10","4.446","52.6","-1.1","ARRI ALEXA 35"
