"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"17:15:41:04","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.4","0.8","ARRI ALEXA 35"
"17:15:41:05","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.4","0.8","ARRI ALEXA 35"
"17:15:41:06","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.4","0.8","ARRI ALEXA 35"
"17:15:41:07","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.4","0.8","ARRI ALEXA 35"
"17:15:41:08","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.6","0.8","ARRI ALEXA 35"
"17:15:41:09","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.6","0.8","ARRI ALEXA 35"
"17:15:41:10","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.6","0.8","ARRI ALEXA 35"
"17:15:41:11","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.6","0.8","ARRI ALEXA 35"
"17:15:41:12","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.6","0.8","ARRI ALEXA 35"
"17:15:41:13","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.6","0.8","ARRI ALEXA 35"
"17:15:41:14","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.6","0.8","ARRI ALEXA 35"
"17:15:41:15","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.6","0.8","ARRI ALEXA 35"
"17:15:41:16","D_0007C008_250521_171518_h1EI5","COOKE S4 753","753","40","T 2 7/10","9.373","-8.6","0.8","ARRI ALEXA 35"
