"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"16:09:57:12","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.5","0.5","ARRI ALEXA 35"
"16:09:57:13","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.5","0.5","ARRI ALEXA 35"
"16:09:57:14","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.5","0.5","ARRI ALEXA 35"
"16:09:57:15","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.5","0.5","ARRI ALEXA 35"
"16:09:57:16","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.5","0.5","ARRI ALEXA 35"
"16:09:57:17","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.5","0.5","ARRI ALEXA 35"
"16:09:57:18","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.5","0.5","ARRI ALEXA 35"
"16:09:57:19","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.3","0.5","ARRI ALEXA 35"
"16:09:57:20","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.3","0.5","ARRI ALEXA 35"
"16:09:57:21","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.3","0.5","ARRI ALEXA 35"
"16:09:57:22","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.3","0.5","ARRI ALEXA 35"
"16:09:57:23","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.3","0.5","ARRI ALEXA 35"
"16:09:58:00","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.877","-11.4","0.5","ARRI ALEXA 35"
"16:09:58:01","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","8.084","-11.4","0.5","ARRI ALEXA 35"
"16:09:58:02","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","8.091","-11.4","0.5","ARRI ALEXA 35"
"16:09:58:03","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","8.097","-11.4","0.5","ARRI ALEXA 35"
"16:09:58:04","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","8.097","-11.4","0.5","ARRI ALEXA 35"
"16:09:58:05","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","8.107","-11.4","0.5","ARRI ALEXA 35"
"16:09:58:06","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","8.114","-11.6","0.5","ARRI ALEXA 35"
"16:09:58:07","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","8.114","-11.6","0.3","ARRI ALEXA 35"
"16:09:58:08","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","8.114","-11.6","0.3","ARRI ALEXA 35"
"16:09:58:09","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","8.114","-11.4","0.5","ARRI ALEXA 35"
"16:09:58:10","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","8.114","-11.4","0.7","ARRI ALEXA 35"
"16:09:58:11","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","8.114","-11.4","0.7","ARRI ALEXA 35"
"16:09:58:12","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.694","-11.4","0.7","ARRI ALEXA 35"
"16:09:58:13","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.454","-11.4","0.5","ARRI ALEXA 35"
"16:09:58:14","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","7.057","-11.6","0.2","ARRI ALEXA 35"
"16:09:58:15","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","6.604","-11.6","0.2","ARRI ALEXA 35"
"16:09:58:16","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","6.178","-11.6","0.2","ARRI ALEXA 35"
"16:09:58:17","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","5.814","-11.6","0.4","ARRI ALEXA 35"
"16:09:58:18","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","5.62","-11.4","0.4","ARRI ALEXA 35"
"16:09:58:19","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","5.141","-11.1","0.4","ARRI ALEXA 35"
"16:09:58:20","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","4.97","-11.3","0.4","ARRI ALEXA 35"
"16:09:58:21","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","4.718","-11.5","0.4","ARRI ALEXA 35"
"16:09:58:22","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","4.528","-11.7","0.4","ARRI ALEXA 35"
"16:09:58:23","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","4.331","-11.7","0.4","ARRI ALEXA 35"
"16:09:59:00","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","4.242","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:01","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","4.18","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:02","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","4.035","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:03","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.993","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:04","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.911","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:05","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.829","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:06","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.763","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:07","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.711","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:08","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.661","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:09","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.625","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:10","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.602","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:11","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.573","-11.7","0.4","ARRI ALEXA 35"
"16:09:59:12","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.54","-11.7","0.4","ARRI ALEXA 35"
"16:09:59:13","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.494","-11.7","0.4","ARRI ALEXA 35"
"16:09:59:14","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.484","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:15","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.448","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:16","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.415","-11.5","0.4","ARRI ALEXA 35"
"16:09:59:17","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.396","-11.5","0.5","ARRI ALEXA 35"
"16:09:59:18","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.33","-11.5","0.5","ARRI ALEXA 35"
"16:09:59:19","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.31","-11.3","0.5","ARRI ALEXA 35"
"16:09:59:20","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.232","-11.3","0.5","ARRI ALEXA 35"
"16:09:59:21","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.212","-11.5","0.5","ARRI ALEXA 35"
"16:09:59:22","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.179","-11.5","0.5","ARRI ALEXA 35"
"16:09:59:23","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.14","-11.5","0.5","ARRI ALEXA 35"
"16:10:00:00","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.123","-11.5","0.3","ARRI ALEXA 35"
"16:10:00:01","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.081","-11.5","0.3","ARRI ALEXA 35"
"16:10:00:02","A_0014C009_250527_160933_h1EI5","COOKE S4 753","753","40","T 2.8 3/10","3.064","-11.7","0.3","ARRI ALEXA 35"
