"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"17:37:18:16","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","3.6","3.9","ARRI ALEXA 35"
"17:37:18:17","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","5","1.8","ARRI ALEXA 35"
"17:37:18:18","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6.2","-0.2","ARRI ALEXA 35"
"17:37:18:19","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6.5","-1.5","ARRI ALEXA 35"
"17:37:18:20","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6.6","-3","ARRI ALEXA 35"
"17:37:18:21","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6.6","-3.8","ARRI ALEXA 35"
"17:37:18:22","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","5.9","-4","ARRI ALEXA 35"
"17:37:18:23","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","4.9","-4.4","ARRI ALEXA 35"
"17:37:19:00","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","3.7","-4.5","ARRI ALEXA 35"
"17:37:19:01","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","3.4","-4.5","ARRI ALEXA 35"
"17:37:19:02","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","2.7","-4.3","ARRI ALEXA 35"
"17:37:19:03","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","2.7","-4","ARRI ALEXA 35"
"17:37:19:04","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","2.5","-3.4","ARRI ALEXA 35"
"17:37:19:05","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","2.5","-2.8","ARRI ALEXA 35"
"17:37:19:06","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","3","-2.4","ARRI ALEXA 35"
"17:37:19:07","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","3.5","-2.1","ARRI ALEXA 35"
"17:37:19:08","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","4","-1.8","ARRI ALEXA 35"
"17:37:19:09","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","4.2","-1.6","ARRI ALEXA 35"
"17:37:19:10","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","4.7","-1.6","ARRI ALEXA 35"
"17:37:19:11","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","4.9","-1","ARRI ALEXA 35"
"17:37:19:12","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","4.9","-0.7","ARRI ALEXA 35"
"17:37:19:13","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","5.1","-0.2","ARRI ALEXA 35"
"17:37:19:14","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","5.3","0.2","ARRI ALEXA 35"
"17:37:19:15","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","5.5","0.5","ARRI ALEXA 35"
"17:37:19:16","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","5.7","1","ARRI ALEXA 35"
"17:37:19:17","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6","1.2","ARRI ALEXA 35"
"17:37:19:18","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6.1","1.2","ARRI ALEXA 35"
"17:37:19:19","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6.3","1.4","ARRI ALEXA 35"
"17:37:19:20","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6.3","1.5","ARRI ALEXA 35"
"17:37:19:21","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6.3","1.5","ARRI ALEXA 35"
"17:37:19:22","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6.3","1.5","ARRI ALEXA 35"
"17:37:19:23","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6.4","1.1","ARRI ALEXA 35"
"17:37:20:00","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6.6","0.8","ARRI ALEXA 35"
"17:37:20:01","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","6.9","0.5","ARRI ALEXA 35"
"17:37:20:02","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","7.1","-0.1","ARRI ALEXA 35"
"17:37:20:03","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","7.3","-0.2","ARRI ALEXA 35"
"17:37:20:04","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","7.9","-0.6","ARRI ALEXA 35"
"17:37:20:05","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","8.3","-0.8","ARRI ALEXA 35"
"17:37:20:06","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","8.7","-0.8","ARRI ALEXA 35"
"17:37:20:07","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","9","-0.8","ARRI ALEXA 35"
"17:37:20:08","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","9.2","-0.6","ARRI ALEXA 35"
"17:37:20:09","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","9.4","-0.6","ARRI ALEXA 35"
"17:37:20:10","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","9.4","-0.6","ARRI ALEXA 35"
"17:37:20:11","C_0002C009_250529_173746_h1BYI","COOKE S4 918","918","40","T 2 4/10","12.92","9.5","-0.4","ARRI ALEXA 35"
