"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"11:49:04:05","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:06","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:07","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:08","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:09","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:10","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:11","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:12","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:13","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:14","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:15","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:16","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:17","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:18","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:19","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:20","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:21","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
"11:49:04:22","D_0010C004_250522_114841_h1EI5","COOKE S4 949","949","65","T 2 6/10","6.798","31.1","-0.3","ARRI ALEXA 35"
