"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"12:03:22:17","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","36.076","3.3","0","ARRI ALEXA 35"
"12:03:22:18","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","36.076","3","0.2","ARRI ALEXA 35"
"12:03:22:19","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","36.076","3","0.2","ARRI ALEXA 35"
"12:03:22:20","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","36.076","3.2","0.2","ARRI ALEXA 35"
"12:03:22:21","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","36.076","3.2","0","ARRI ALEXA 35"
"12:03:22:22","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","36.076","3.4","0","ARRI ALEXA 35"
"12:03:22:23","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","36.076","3.7","0.1","ARRI ALEXA 35"
"12:03:23:00","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","36.076","3.7","0.1","ARRI ALEXA 35"
"12:03:23:01","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","36.709","3.7","0.1","ARRI ALEXA 35"
"12:03:23:02","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","37.536","3.7","0.1","ARRI ALEXA 35"
"12:03:23:03","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","37.536","3.7","0.1","ARRI ALEXA 35"
"12:03:23:04","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","37.707","3.8","0.1","ARRI ALEXA 35"
"12:03:23:05","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","37.707","4","0.1","ARRI ALEXA 35"
"12:03:23:06","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","37.707","4","0.1","ARRI ALEXA 35"
"12:03:23:07","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","37.707","4","0.1","ARRI ALEXA 35"
"12:03:23:08","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","37.707","4.4","0.1","ARRI ALEXA 35"
"12:03:23:09","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","38.051","4.6","0.1","ARRI ALEXA 35"
"12:03:23:10","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","38.051","4.8","0.1","ARRI ALEXA 35"
"12:03:23:11","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","38.051","5","0.1","ARRI ALEXA 35"
"12:03:23:12","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","38.051","5","0.1","ARRI ALEXA 35"
"12:03:23:13","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","38.051","5","0.1","ARRI ALEXA 35"
"12:03:23:14","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","38.051","5","0.1","ARRI ALEXA 35"
"12:03:23:15","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","38.051","4.8","0.1","ARRI ALEXA 35"
"12:03:23:16","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","38.051","4.5","0.1","ARRI ALEXA 35"
"12:03:23:17","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","38.051","4.5","0.1","ARRI ALEXA 35"
"12:03:23:18","A_0008C005_250523_110242_h1CBB","COOKE S4 955","955","32","T 2.8 5/10","38.051","4.6","0.1","ARRI ALEXA 35"
