"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"15:57:28:12","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-5.6","9.1","ARRI ALEXA 35"
"15:57:28:13","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-5.3","9.4","ARRI ALEXA 35"
"15:57:28:14","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-5","9.3","ARRI ALEXA 35"
"15:57:28:15","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-4.2","8.1","ARRI ALEXA 35"
"15:57:28:16","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-4.2","7.6","ARRI ALEXA 35"
"15:57:28:17","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-3.9","7","ARRI ALEXA 35"
"15:57:28:18","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-3.7","7","ARRI ALEXA 35"
"15:57:28:19","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-3.7","6.8","ARRI ALEXA 35"
"15:57:28:20","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-3.5","6.8","ARRI ALEXA 35"
"15:57:28:21","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-3.8","6.5","ARRI ALEXA 35"
"15:57:28:22","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-3.5","6.2","ARRI ALEXA 35"
"15:57:28:23","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-3.5","6.2","ARRI ALEXA 35"
"15:57:29:00","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-3.5","5.9","ARRI ALEXA 35"
"15:57:29:01","C_0001C005_250523_155752_h1BYI","COOKE S4 752","752","27","T 2 1/10","36.873","-2.7","5.2","ARRI ALEXA 35"
