"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"17:35:18:23","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:00","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:01","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:02","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:03","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:04","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:05","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:06","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:07","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:08","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:09","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:10","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:11","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:12","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:13","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:14","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:15","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:16","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:17","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:18","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:19","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:20","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:21","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:22","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:19:23","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:00","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:01","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:02","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:03","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:04","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:05","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:06","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:07","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:08","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:09","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:10","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:11","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:12","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
"17:35:20:13","D_0008C002_250521_173456_h1EI5","COOKE S4 753","753","40","T 2 7/10","5.643","-9.1","0.7","ARRI ALEXA 35"
