"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"11:47:20:16","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:20:17","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:20:18","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:20:19","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:20:20","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:20:21","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:20:22","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:20:23","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:00","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:01","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:02","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:03","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:04","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:05","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:06","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:07","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:08","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:09","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:10","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:11","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:12","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:13","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:14","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:15","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:16","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:17","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:18","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:19","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:20","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:21","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:22","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:21:23","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:22:00","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:22:01","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
"11:47:22:02","B_0006C002_250522_104603_h1CZ7","COOKE S4 918","918","40","T 2 7/10","4.216","28.4","-0.1","ARRI ALEXA 35"
