"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"10:41:12:11","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.6","0.1","ARRI ALEXA 35"
"10:41:12:12","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.6","0.1","ARRI ALEXA 35"
"10:41:12:13","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.6","0.1","ARRI ALEXA 35"
"10:41:12:14","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.6","0.1","ARRI ALEXA 35"
"10:41:12:15","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.6","0.1","ARRI ALEXA 35"
"10:41:12:16","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.7","0.1","ARRI ALEXA 35"
"10:41:12:17","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.7","0.1","ARRI ALEXA 35"
"10:41:12:18","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.7","0.1","ARRI ALEXA 35"
"10:41:12:19","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.7","0.1","ARRI ALEXA 35"
"10:41:12:20","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.7","0","ARRI ALEXA 35"
"10:41:12:21","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.7","0","ARRI ALEXA 35"
"10:41:12:22","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.7","0","ARRI ALEXA 35"
"10:41:12:23","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.7","-0.1","ARRI ALEXA 35"
"10:41:13:00","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.8","-0.1","ARRI ALEXA 35"
"10:41:13:01","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.8","-0.1","ARRI ALEXA 35"
"10:41:13:02","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.9","-0.1","ARRI ALEXA 35"
"10:41:13:03","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.9","-0.1","ARRI ALEXA 35"
"10:41:13:04","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.9","-0.1","ARRI ALEXA 35"
"10:41:13:05","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","25","-0.1","ARRI ALEXA 35"
"10:41:13:06","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","25","-0.1","ARRI ALEXA 35"
"10:41:13:07","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","25","-0.1","ARRI ALEXA 35"
"10:41:13:08","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","25","-0.1","ARRI ALEXA 35"
"10:41:13:09","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","25","-0.1","ARRI ALEXA 35"
"10:41:13:10","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.8","-0.1","ARRI ALEXA 35"
"10:41:13:11","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.8","-0.1","ARRI ALEXA 35"
"10:41:13:12","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.5","-0.1","ARRI ALEXA 35"
"10:41:13:13","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.5","-0.1","ARRI ALEXA 35"
"10:41:13:14","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.5","-0.1","ARRI ALEXA 35"
"10:41:13:15","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.5","-0.1","ARRI ALEXA 35"
"10:41:13:16","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.957","24.5","-0.1","ARRI ALEXA 35"
"10:41:13:17","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.5","-0.1","ARRI ALEXA 35"
"10:41:13:18","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.5","-0.1","ARRI ALEXA 35"
"10:41:13:19","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.6","0","ARRI ALEXA 35"
"10:41:13:20","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.6","0","ARRI ALEXA 35"
"10:41:13:21","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.6","0","ARRI ALEXA 35"
"10:41:13:22","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.6","0","ARRI ALEXA 35"
"10:41:13:23","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.7","0","ARRI ALEXA 35"
"10:41:14:00","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.7","0","ARRI ALEXA 35"
"10:41:14:01","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.7","0","ARRI ALEXA 35"
"10:41:14:02","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.7","0","ARRI ALEXA 35"
"10:41:14:03","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.7","0","ARRI ALEXA 35"
"10:41:14:04","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.7","0","ARRI ALEXA 35"
"10:41:14:05","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.7","0","ARRI ALEXA 35"
"10:41:14:06","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.7","0","ARRI ALEXA 35"
"10:41:14:07","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.7","0","ARRI ALEXA 35"
"10:41:14:08","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.7","0","ARRI ALEXA 35"
"10:41:14:09","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.8","0","ARRI ALEXA 35"
"10:41:14:10","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.8","0","ARRI ALEXA 35"
"10:41:14:11","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","24.8","0","ARRI ALEXA 35"
"10:41:14:12","D_0009C003_250522_104049_h1EI5","COOKE S4 962","962","50","T 2 5/10","9.944","25","0","ARRI ALEXA 35"
