Flag/Circled,Label,Dynamic Metadata,Name,Reel/Tape,Camera,Shoot Date,Shooting Day,Crew Unit,Episode,Scene,Take,Duration,Look Source Name,Look Name,CDL Nodes,SAT Nodes,Director,Cinematographer,EI/ISO (clip),WB (clip),Tint (clip),Frames,Shutter Angle,Sensor FPS,Lens Model,Focal Length,T-Stop,Focus Distance,Codec,File Type,Resolution,Project FPS,TC Start,TC End,File Size,Soundroll,In/Out Duration,Firmware Version,Lens Serial,Recorder Model,LUT Nodes,ShotID,Shothub Link
"","No Label","","D_0004C001_250521_093504_h1EI5","D_0004_1EI5","D_","20250521","SD003","ENT","301","129B","01","83","102_F","102_F","(1.0046 0.9985 1.0006) (-0.0073 0.0025 -0.0033) (1.0106 1.0106 1.0106)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1990","172.8° @ 24fps","24","COOKE S4 753","40.0 mm","2.8 2/10","13.5 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:35:25.11","09:36:48.09","20116062580","SR003","1990","4.00.00","753","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","YEJ-2VE-ZH2","https://shotid.net/YEJ-2VE-ZH2"
"","No Label","","D_0004C002_250521_094039_h1EI5","D_0004_1EI5","D_","20250521","SD003","ENT","301","129B","02","97","102_F","102_F","(1.0046 0.9985 1.0006) (-0.0073 0.0025 -0.0033) (1.0106 1.0106 1.0106)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","2332","172.8° @ 24fps","24","COOKE S4 753","40.0 mm","2.8 2/10","9.83 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:41:00.14","09:42:37.18","23368176024","SR003","2332","4.00.00","753","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","E28-TGY-AE8","https://shotid.net/E28-TGY-AE8"
"","No Label","","D_0004C003_250521_094421_h1EI5","D_0004_1EI5","D_","20250521","SD003","ENT","301","129B","03","97","102_F","102_F","(1.0046 0.9985 1.0006) (-0.0073 0.0025 -0.0033) (1.0106 1.0106 1.0106)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","2325","172.8° @ 24fps","24","COOKE S4 753","40.0 mm","2.8 2/10","10.5 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:44:42.19","09:46:19.16","23135834520","SR003","2325","4.00.00","753","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","RPU-YSK-VGM","https://shotid.net/RPU-YSK-VGM"
"X","No Label","","D_0004C004_250521_094731_h1EI5","D_0004_1EI5","D_","20250521","SD003","ENT","301","129B","04","90","102_F","102_F","(1.0046 0.9985 1.0006) (-0.0073 0.0025 -0.0033) (1.0106 1.0106 1.0106)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","2167","172.8° @ 24fps","24","COOKE S4 753","40.0 mm","2.8 2/10","8.78 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:47:53.00","09:49:23.07","21504389528","SR003","2167","4.00.00","753","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","3XR-WPL-CRM","https://shotid.net/3XR-WPL-CRM"
"","No Label","","D_0004C005_250521_094926_h1EI5","D_0004_1EI5","D_","20250521","SD003","ENT","301","129B","05","47","102_F","102_F","(1.0046 0.9985 1.0006) (-0.0073 0.0025 -0.0033) (1.0106 1.0106 1.0106)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1135","172.8° @ 24fps","24","COOKE S4 753","40.0 mm","2.8 2/10","4.18 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:49:47.12","09:50:34.19","11510669540","","1135","4.00.00","753","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","BS3-XR9-Z97","https://shotid.net/BS3-XR9-Z97"
"","No Label","","D_0004C006_250521_100400_h1EI5","D_0004_1EI5","D_","20250521","SD003","ENT","301","129C","01","88","102_F","102_F","(1.0046 0.9985 1.0006) (-0.0073 0.0025 -0.0033) (1.0106 1.0106 1.0106)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","2105","172.8° @ 24fps","24","COOKE S4 949","65.0 mm","2.8 1/10","9.90 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:04:22.01","10:05:49.18","20795715956","SR003","2105","4.00.00","949","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","HGU-9LP-QHP","https://shotid.net/HGU-9LP-QHP"
"","No Label","","D_0004C007_250521_100605_h1EI5","D_0004_1EI5","D_","20250521","SD003","ENT","301","129C","02","77","102_F","102_F","(1.0046 0.9985 1.0006) (-0.0073 0.0025 -0.0033) (1.0106 1.0106 1.0106)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1852","172.8° @ 24fps","24","COOKE S4 949","65.0 mm","2.8 1/10","11.2 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:06:27.02","10:07:44.06","18429604176","SR003","1852","4.00.00","949","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","JUP-S43-5ZV","https://shotid.net/JUP-S43-5ZV"
"","No Label","","D_0004C008_250521_100728_h1EI5","D_0004_1EI5","D_","20250521","SD003","ENT","301","129C","02","3","102_F","102_F","(1.0046 0.9985 1.0006) (-0.0073 0.0025 -0.0033) (1.0106 1.0106 1.0106)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","63","172.8° @ 24fps","24","COOKE S4 949","65.0 mm","2.8 1/10","4.74 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:07:49.17","10:07:52.08","695595092","SR003","63","4.00.00","949","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","A7H-P6A-LVR","https://shotid.net/A7H-P6A-LVR"
"X","No Label","","D_0004C009_250521_100857_h1EI5","D_0004_1EI5","D_","20250521","SD003","ENT","301","129C","03","82","102_F","102_F","(1.0046 0.9985 1.0006) (-0.0073 0.0025 -0.0033) (1.0106 1.0106 1.0106)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1963","172.8° @ 24fps","24","COOKE S4 949","65.0 mm","2.8 1/10","10.8 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:09:18.21","10:10:40.16","19546550644","SR003","1963","4.00.00","949","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","9FD-S56-MLZ","https://shotid.net/9FD-S56-MLZ"
"","No Label","","D_0004C010_250521_101046_h1EI5","D_0004_1EI5","D_","20250521","SD003","ENT","301","129C","04","19","102_F","102_F","(1.0046 0.9985 1.0006) (-0.0073 0.0025 -0.0033) (1.0106 1.0106 1.0106)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","453","172.8° @ 24fps","24","COOKE S4 949","65.0 mm","2.8 1/10","7.06 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:11:08.05","10:11:27.02","4570669176","","453","4.00.00","949","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","J8K-7GP-SV7","https://shotid.net/J8K-7GP-SV7"
