Flag/Circled,Label,Dynamic Metadata,Name,Reel/Tape,Camera,Shoot Date,Shooting Day,Crew Unit,Episode,Scene,Take,Duration,Look Source Name,Look Name,CDL Nodes,SAT Nodes,Director,Cinematographer,EI/ISO (clip),WB (clip),Tint (clip),Frames,Shutter Angle,Sensor FPS,Lens Model,Focal Length,T-Stop,Focus Distance,Codec,File Type,Resolution,Project FPS,TC Start,TC End,File Size,Soundroll,In/Out Duration,Firmware Version,Lens Serial,Recorder Model,LUT Nodes,ShotID,Shothub Link
"","No Label","","A_0007C001_250523_090250_h1CBB","A_0007_1CBB","A_","20250523","SD005","ENT","301","","","1","base_mkt.alf4c","104_B","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4300 K","0","28","172.8° @ 24fps","24","COOKE S4 754","27.0 mm","2.8 1/10","8.80 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:03:30.17","10:03:31.21","371818580","","28","4.00.00","754","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube, null_33.cube","9SD-H9N-G5B","https://shotid.net/9SD-H9N-G5B"
"","No Label","","A_0007C002_250523_093634_h1CBB","A_0007_1CBB","A_","20250523","SD005","ENT","301","116","01","137","base_mkt.alf4c","104_B","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4300 K","0","3279","172.8° @ 24fps","24","COOKE S4 754","27.0 mm","2 7/10","2.32 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:37:14.11","10:39:31.02","35546903080","SR005","3279","4.00.00","754","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube, null_33.cube","H4B-X9X-VFY","https://shotid.net/H4B-X9X-VFY"
"","No Label","","A_0007C003_250523_094017_h1CBB","A_0007_1CBB","A_","20250523","SD005","ENT","301","116","02","157","base_mkt.alf4c","104_B","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4300 K","0","3771","172.8° @ 24fps","24","COOKE S4 754","27.0 mm","2 6/10","2.32 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:40:58.02","10:43:35.05","41380348528","SR005","3771","4.00.00","754","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube, null_33.cube","USY-CQZ-4ME","https://shotid.net/USY-CQZ-4ME"
"","No Label","","A_0007C004_250523_094416_h1CBB","A_0007_1CBB","A_","20250523","SD005","ENT","301","116","03","97","base_mkt.alf4c","104_B","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4300 K","0","2316","172.8° @ 24fps","24","COOKE S4 754","27.0 mm","2 7/10","2.45 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:44:56.17","10:46:33.05","25987363224","SR005","2316","4.00.00","754","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube, null_33.cube","4B5-N8B-JXT","https://shotid.net/4B5-N8B-JXT"
"","No Label","","A_0007C005_250523_094709_h1CBB","A_0007_1CBB","A_","20250523","SD005","ENT","301","116","04","94","base_mkt.alf4c","104_B","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4300 K","0","2262","172.8° @ 24fps","24","COOKE S4 754","27.0 mm","2 7/10","2.45 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:47:49.18","10:49:24.00","25424544152","SR005","2262","4.00.00","754","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube, null_33.cube","BK6-SG9-WRK","https://shotid.net/BK6-SG9-WRK"
"X","No Label","Extracted","A_0007C006_250523_095313_h1CBB","A_0007_1CBB","A_","20250523","SD005","ENT","301","116","05","100","LOG","104_B","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4300 K","0","2391","172.8° @ 24fps","24","COOKE S4 754","27.0 mm","2 9/10","2.55 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:53:53.20","10:55:33.11","26968215960","SR005","2391","4.00.00","754","ARRI ALEXA 35","","BGJ-DUT-74E","https://shotid.net/BGJ-DUT-74E"
"","No Label","","A_0007C007_250523_095546_h1CBB","A_0007_1CBB","A_","20250523","SD005","ENT","301","","","29","base_mkt.alf4c","104_B","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4300 K","0","705","172.8° @ 24fps","24","COOKE S4 754","27.0 mm","2 8/10","9.21 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:56:27.01","10:56:56.10","8236232860","","705","4.00.00","754","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube, null_33.cube","YER-UGM-EJW","https://shotid.net/YER-UGM-EJW"
"","No Label","","A_0008C001_250523_105036_h1CBB","A_0008_1CBB","A_","20250523","SD005","ENT","301","116A","01","34","base_mkt.alf4c","104_B","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4300 K","0","824","172.8° @ 24fps","24","COOKE S4 955","32.0 mm","2.8 8/10","33.7 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:51:17.02","11:51:51.10","9264922816","SR005","824","4.00.00","955","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube, null_33.cube","M6H-U47-XJ9","https://shotid.net/M6H-U47-XJ9"
"","No Label","","A_0008C002_250523_105242_h1CBB","A_0008_1CBB","A_","20250523","SD005","ENT","301","116A","02","31","base_mkt.alf4c","104_B","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4300 K","0","751","172.8° @ 24fps","24","COOKE S4 955","32.0 mm","2.8 8/10","27.2 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:53:23.01","11:53:54.08","8394080448","SR005","751","4.00.00","955","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube, null_33.cube","TBZ-4VZ-6DT","https://shotid.net/TBZ-4VZ-6DT"
"","No Label","","A_0008C003_250523_105554_h1CBB","A_0008_1CBB","A_","20250523","SD005","ENT","301","116A","03","33","base_mkt.alf4c","104_B","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4300 K","0","783","172.8° @ 24fps","24","COOKE S4 955","32.0 mm","2.8 8/10","43.0 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:56:35.07","11:57:07.22","8753836224","SR005","783","4.00.00","955","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube, null_33.cube","EAR-GV8-EDZ","https://shotid.net/EAR-GV8-EDZ"
