Flag/Circled,Label,Dynamic Metadata,Name,Reel/Tape,Camera,Shoot Date,Shooting Day,Crew Unit,Episode,Scene,Take,Duration,Look Source Name,Look Name,CDL Nodes,SAT Nodes,Director,Cinematographer,EI/ISO (clip),WB (clip),Tint (clip),Frames,Shutter Angle,Sensor FPS,Lens Model,Focal Length,T-Stop,Focus Distance,Codec,File Type,Resolution,Project FPS,TC Start,TC End,File Size,Soundroll,In/Out Duration,Firmware Version,Lens Serial,Recorder Model,LUT Nodes,ShotID,Shothub Link
"","No Label","","B_0003C001_250520_081127_h1CZ7","B_0003_1CZ7","B_","20250520","SD002","ENT","301","143G","01","34","LOG","101_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","804","172.8° @ 24fps","24","COOKE S4 954","18.0 mm","2.8 4/10","18.4 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:12:38.10","09:13:11.22","8252616896","SR002","804","4.00.00","954","ARRI ALEXA 35","","8CG-V2T-KQU","https://shotid.net/8CG-V2T-KQU"
"","No Label","","B_0003C002_250520_081349_h1CZ7","B_0003_1CZ7","B_","20250520","SD002","ENT","301","143G","02","36","LOG","101_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","857","172.8° @ 24fps","24","COOKE S4 954","18.0 mm","2.8 4/10","24.7 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:15:00.17","09:15:36.10","8436232384","SR002","857","4.00.00","954","ARRI ALEXA 35","","GQK-XP7-9BU","https://shotid.net/GQK-XP7-9BU"
"","No Label","","B_0003C003_250520_082432_h1CZ7","B_0003_1CZ7","B_","20250520","SD002","ENT","301","143H","01","48","LOG","101_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1147","172.8° @ 24fps","24","COOKE S4 954","18.0 mm","2.8 5/10","21.9 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:25:43.18","09:26:31.13","11719315684","SR002","1147","4.00.00","954","ARRI ALEXA 35","","PBQ-53C-RTP","https://shotid.net/PBQ-53C-RTP"
"","No Label","","B_0003C004_250520_082748_h1CZ7","B_0003_1CZ7","B_","20250520","SD002","ENT","301","143H","02","54","LOG","101_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1288","172.8° @ 24fps","24","COOKE S4 954","18.0 mm","2.8 5/10","28.1 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:28:59.10","09:29:53.02","13442334984","","1288","4.00.00","954","ARRI ALEXA 35","","QA8-32V-5WS","https://shotid.net/QA8-32V-5WS"
"","No Label","","B_0003C005_250520_084226_h1CZ7","B_0003_1CZ7","B_","20250520","SD002","ENT","301","143H","03","42","LOG","101_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1018","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2.8 3/10","15.8 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:43:37.17","09:44:20.03","10502283492","SR002","1018","4.00.00","752","ARRI ALEXA 35","","5KN-XLH-ZR4","https://shotid.net/5KN-XLH-ZR4"
"","No Label","","B_0003C006_250520_084651_h1CZ7","B_0003_1CZ7","B_","20250520","SD002","ENT","301","FC","01","2","LOG","101_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","46","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2.8 4/10","17.5 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:48:02.11","09:48:04.09","515174484","","46","4.00.00","752","ARRI ALEXA 35","","4MZ-E5R-KG9","https://shotid.net/4MZ-E5R-KG9"
"","No Label","","B_0003C007_250520_084802_h1CZ7","B_0003_1CZ7","B_","20250520","SD002","ENT","301","FC","02","2","LOG","101_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","50","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2.8 4/10","17.5 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:49:13.01","09:49:15.03","574758996","","50","4.00.00","752","ARRI ALEXA 35","","GEU-Q2Z-8L6","https://shotid.net/GEU-Q2Z-8L6"
"","No Label","","B_0003C008_250520_085049_h1CZ7","B_0003_1CZ7","B_","20250520","SD002","ENT","301","143H","04","44","LOG","101_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1064","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2.8 4/10","21.5 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:52:00.04","09:52:44.12","10963366116","SR002","1064","4.00.00","752","ARRI ALEXA 35","","2Z6-YNX-NH5","https://shotid.net/2Z6-YNX-NH5"
"","No Label","","B_0003C009_250520_085525_h1CZ7","B_0003_1CZ7","B_","20250520","SD002","ENT","301","143H","05","37","LOG","101_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","897","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2.8 4/10","15.5 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","09:56:36.05","09:57:13.14","9489707200","","897","4.00.00","752","ARRI ALEXA 35","","SVD-7TC-ZJB","https://shotid.net/SVD-7TC-ZJB"
"","No Label","","B_0003C010_250520_090216_h1CZ7","B_0003_1CZ7","B_","20250520","SD002","ENT","301","143H","06","42","LOG","101_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1007","172.8° @ 24fps","24","COOKE S4 752","27.0 mm","2.8 1/10","22.5 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:03:27.07","10:04:09.06","10386043108","SR002","1007","4.00.00","752","ARRI ALEXA 35","","KB5-DHZ-8Y2","https://shotid.net/KB5-DHZ-8Y2"
