Flag/Circled,Label,Dynamic Metadata,Name,Reel/Tape,Camera,Shoot Date,Shooting Day,Crew Unit,Episode,Scene,Take,Duration,Look Source Name,Look Name,CDL Nodes,SAT Nodes,Director,Cinematographer,EI/ISO (clip),WB (clip),Tint (clip),Frames,Shutter Angle,Sensor FPS,Lens Model,Focal Length,T-Stop,Focus Distance,Codec,File Type,Resolution,Project FPS,TC Start,TC End,File Size,Soundroll,In/Out Duration,Firmware Version,Lens Serial,Recorder Model,LUT Nodes,ShotID,Shothub Link
"","No Label","","A_0004C001_250522_074531_h1CBB","A_0004_1CBB","A_","20250522","SD004","ENT","301","129M","01","87","LOG","103_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","2083","172.8° @ 24fps","24","COOKE S4 754","27.0 mm","4","2.11 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","08:46:10.08","08:47:37.03","21384216948","SR004","2083","4.00.00","754","ARRI ALEXA 35","","MAS-6AG-KZV","https://shotid.net/MAS-6AG-KZV"
"","No Label","","A_0004C002_250522_075207_h1CBB","A_0004_1CBB","A_","20250522","SD004","ENT","301","129M","02","61","LOG","103_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1471","172.8° @ 24fps","24","COOKE S4 754","27.0 mm","4","2.19 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","08:52:46.08","08:53:47.15","14881440044","SR004","1471","4.00.00","754","ARRI ALEXA 35","","RCW-ZUM-AAL","https://shotid.net/RCW-ZUM-AAL"
"X","No Label","Extracted","A_0004C003_250522_075521_h1CBB","A_0004_1CBB","A_","20250522","SD004","ENT","301","129M","04","38","LOG","103_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","914","172.8° @ 24fps","24","COOKE S4 754","27.0 mm","4","2.24 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","08:56:00.00","08:56:38.02","9527210176","SR004","914","4.00.00","754","ARRI ALEXA 35","","GEM-JD9-726","https://shotid.net/GEM-JD9-726"
"","No Label","","A_0004C004_250522_075613_h1CBB","A_0004_1CBB","A_","20250522","SD004","ENT","301","","","18","LOG","103_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","429","172.8° @ 24fps","24","COOKE S4 754","27.0 mm","4","2.25 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","08:56:52.07","08:57:10.04","4558942328","","429","4.00.00","754","ARRI ALEXA 35","","ZZU-AER-G6T","https://shotid.net/ZZU-AER-G6T"
"","No Label","","A_0006C001_250522_162601_h1CBB","A_0006_1CBB","A_","20250522","SD004","ENT","301","129T","01","228","LOG","103_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","5463","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2.8","40.1 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","17:26:40.07","17:30:27.22","59541746540","SR004","5463","4.00.00","752","ARRI ALEXA 35","","Y7H-G5E-JGK","https://shotid.net/Y7H-G5E-JGK"
"","No Label","","A_0006C002_250522_163103_h1CBB","A_0006_1CBB","A_","20250522","SD004","ENT","301","129T","02","51","LOG","103_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1228","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2 9/10","36.5 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","17:31:42.03","17:32:33.07","13435896072","SR004","1228","4.00.00","752","ARRI ALEXA 35","","YHE-MV4-MX5","https://shotid.net/YHE-MV4-MX5"
"","No Label","","A_0006C003_250522_163257_h1CBB","A_0006_1CBB","A_","20250522","SD004","ENT","301","129T","03","47","LOG","103_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1120","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2 9/10","32.1 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","17:33:36.09","17:34:23.01","12297887972","SR004","1120","4.00.00","752","ARRI ALEXA 35","","LQW-WFG-QRN","https://shotid.net/LQW-WFG-QRN"
"X","No Label","Extracted","A_0006C004_250522_163507_h1CBB","A_0006_1CBB","A_","20250522","SD004","ENT","301","129T","04","43","LOG","103_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1026","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2 8/10","35.0 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","17:35:46.21","17:36:29.15","11244155108","SR004","1026","4.00.00","752","ARRI ALEXA 35","","D4S-ASW-B2R","https://shotid.net/D4S-ASW-B2R"
"","No Label","","A_0006C005_250522_163734_h1CBB","A_0006_1CBB","A_","20250522","SD004","ENT","301","","","42","LOG","103_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1010","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2 8/10","34.3 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","17:38:13.02","17:38:55.04","10937708772","","1010","4.00.00","752","ARRI ALEXA 35","","TTH-2F9-E7F","https://shotid.net/TTH-2F9-E7F"
"","No Label","","A_0006C006_250522_163938_h1CBB","A_0006_1CBB","A_","20250522","SD004","ENT","301","","","3","LOG","103_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","67","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2 8/10","14.7 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","17:40:17.19","17:40:20.14","909164628","","67","4.00.00","752","ARRI ALEXA 35","","7JQ-QXD-KX8","https://shotid.net/7JQ-QXD-KX8"
