Flag/Circled,Label,Dynamic Metadata,Name,Reel/Tape,Camera,Shoot Date,Shooting Day,Crew Unit,Episode,Scene,Take,Duration,Look Source Name,Look Name,CDL Nodes,SAT Nodes,Director,Cinematographer,EI/ISO (clip),WB (clip),Tint (clip),Frames,Shutter Angle,Sensor FPS,Lens Model,Focal Length,T-Stop,Focus Distance,Codec,File Type,Resolution,Project FPS,TC Start,TC End,File Size,Soundroll,In/Out Duration,Firmware Version,Lens Serial,Recorder Model,LUT Nodes,ShotID,Shothub Link
"","No Label","","A_0016C001_250528_103501_h1EI5","A_0016_1EI5","A_","20250528","SD007","ENT","302","224","01","310","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","7450","172.8° @ 24fps","24","COOKE S4 758","25.0 mm","2 4/10","25.4 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:35:25.15","10:40:36.01","77518791856","SR007","7450","4.00.00","758","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","Y6W-ENV-VBA","https://shotid.net/Y6W-ENV-VBA"
"","No Label","","A_0016C002_250528_104502_h1EI5","A_0016_1EI5","A_","20250528","SD007","ENT","302","224","02","83","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","1995","172.8° @ 24fps","24","COOKE S4 758","25.0 mm","2 4/10","26.0 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:45:26.17","10:46:49.20","20470620532","SR007","1995","4.00.00","758","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","XPL-KQK-YPX","https://shotid.net/XPL-KQK-YPX"
"","No Label","","A_0016C003_250528_104725_h1EI5","A_0016_1EI5","A_","20250528","SD007","ENT","302","224","03","259","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","6214","172.8° @ 24fps","24","COOKE S4 758","25.0 mm","2 4/10","26.3 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:47:50.08","10:52:09.06","65197790168","SR007","6214","4.00.00","758","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","AS5-SJY-N5X","https://shotid.net/AS5-SJY-N5X"
"X","No Label","Extracted","A_0016C004_250528_105332_h1EI5","A_0016_1EI5","A_","20250528","SD007","ENT","302","224","04","309","LOG","107_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","7404","172.8° @ 24fps","24","COOKE S4 758","25.0 mm","2 4/10","30.3 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:53:56.17","10:59:05.05","77680473228","SR007","7404","4.00.00","758","ARRI ALEXA 35","","JYC-7X3-M4E","https://shotid.net/JYC-7X3-M4E"
"","No Label","","A_0016C005_250528_110004_h1EI5","A_0016_1EI5","A_","20250528","SD007","ENT","302","","","34","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","808","172.8° @ 24fps","24","COOKE S4 758","25.0 mm","2 4/10","39.5 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:00:28.18","11:01:02.10","8275022016","","808","4.00.00","758","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","VRQ-HN5-3BP","https://shotid.net/VRQ-HN5-3BP"
"","No Label","","A_0017C001_250528_115211_h1EI5","A_0017_1EI5","A_","20250528","SD007","ENT","302","224A","01","113","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","2707","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2 4/10","2.21 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:52:35.23","11:54:28.18","27198296544","SR007","2707","4.00.00","752","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","JH2-4RX-R87","https://shotid.net/JH2-4RX-R87"
"X","No Label","Extracted","A_0017C002_250528_115448_h1EI5","A_0017_1EI5","A_","20250528","SD007","ENT","302","224A","02","172","LOG","107_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","4128","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2 4/10","3.12 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:55:12.23","11:58:04.23","41628107448","SR007","4128","4.00.00","752","ARRI ALEXA 35","","CF5-Y2B-Z2C","https://shotid.net/CF5-Y2B-Z2C"
"","No Label","","A_0017C003_250528_115850_h1EI5","A_0017_1EI5","A_","20250528","SD007","ENT","302","","","16","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","383","172.8° @ 24fps","24","COOKE S4 752","21.0 mm","2 4/10","5.25 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:59:15.04","11:59:31.03","3979681912","","383","4.00.00","752","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","2MH-WMY-VZQ","https://shotid.net/2MH-WMY-VZQ"
"","No Label","","A_0017C004_250528_123444_h1EI5","A_0017_1EI5","A_","20250528","SD007","ENT","302","224B","01","310","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","7446","172.8° @ 24fps","24","COOKE S4 758","25.0 mm","2 5/10","12.8 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","12:35:09.10","12:40:19.16","73277002928","SR007","7446","4.00.00","758","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","Z5W-L7H-MLV","https://shotid.net/Z5W-L7H-MLV"
"","No Label","","A_0017C005_250528_124430_h1EI5","A_0017_1EI5","A_","20250528","SD007","ENT","302","224B","02","256","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","6137","172.8° @ 24fps","24","COOKE S4 758","25.0 mm","2 5/10","11.1 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","12:44:55.09","12:49:11.02","60582970328","SR007","6137","4.00.00","758","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","QES-3LX-QJT","https://shotid.net/QES-3LX-QJT"
