Flag/Circled,Label,Dynamic Metadata,Name,Reel/Tape,Camera,Shoot Date,Shooting Day,Crew Unit,Episode,Scene,Take,Duration,Look Source Name,Look Name,CDL Nodes,SAT Nodes,Director,Cinematographer,EI/ISO (clip),WB (clip),Tint (clip),Frames,Shutter Angle,Sensor FPS,Lens Model,Focal Length,T-Stop,Focus Distance,Codec,File Type,Resolution,Project FPS,TC Start,TC End,File Size,Soundroll,In/Out Duration,Firmware Version,Lens Serial,Recorder Model,LUT Nodes,ShotID,Shothub Link
"","No Label","","A_0010C001_250527_091149_h1CBB","A_0010_1CBB","A_","20250527","SD006","ENT","301","118","01","265","106_C","106_C","(1.0624 1.0654 1.0725) (-0.0205 -0.0235 -0.0305) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4600 K","0","6367","172.8° @ 24fps","24","COOKE S4 954","18.0 mm","2.8 1/10","14.1 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:12:29.14","10:16:54.21","75704722428","SR006","6367","4.00.00","954","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","A8X-NPL-RDN","https://shotid.net/A8X-NPL-RDN"
"","No Label","","A_0010C002_250527_092621_h1CBB","A_0010_1CBB","A_","20250527","SD006","ENT","301","118","02","282","106_C","106_C","(1.0624 1.0654 1.0725) (-0.0205 -0.0235 -0.0305) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4600 K","0","6759","172.8° @ 24fps","24","COOKE S4 954","18.0 mm","2.8 1/10","16.6 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:27:01.05","10:31:42.20","79345026116","SR006","6759","4.00.00","954","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","W76-PG5-7G7","https://shotid.net/W76-PG5-7G7"
"X","No Label","Extracted","A_0010C003_250527_093516_h1CBB","A_0010_1CBB","A_","20250527","SD006","ENT","301","118","03","276","LOG","106_C","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4600 K","0","6635","172.8° @ 24fps","24","COOKE S4 954","18.0 mm","2.8 1/10","15.4 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:35:56.15","10:40:33.02","78048064544","SR006","6635","4.00.00","954","ARRI ALEXA 35","","VA9-9CC-W2B","https://shotid.net/VA9-9CC-W2B"
"","No Label","Extracted","A_0010C004_250527_094040_h1CBB","A_0010_1CBB","A_","20250527","SD006","ENT","301","118","03","38","LOG","106_C","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4600 K","0","910","172.8° @ 24fps","24","COOKE S4 954","18.0 mm","2.8 1/10","16.1 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:41:20.15","10:41:58.13","10689167552","SR006","910","4.00.00","954","ARRI ALEXA 35","","BMX-RES-9ST","https://shotid.net/BMX-RES-9ST"
"","No Label","","A_0010C005_250527_103928_h1CBB","A_0010_1CBB","A_","20250527","SD006","ENT","301","118A","01","261","106_C","106_C","(1.0624 1.0654 1.0725) (-0.0205 -0.0235 -0.0305) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4600 K","0","6265","172.8° @ 24fps","24","COOKE S4 753","40.0 mm","2.8","5.71 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:40:08.17","11:44:29.18","77499847676","SR006","6265","4.00.00","753","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","3YK-NZ6-WMD","https://shotid.net/3YK-NZ6-WMD"
"","No Label","","A_0011C001_250527_104836_h1CBB","A_0011_1CBB","A_","20250527","SD006","ENT","301","118A","02","264","106_C","106_C","(1.0624 1.0654 1.0725) (-0.0205 -0.0235 -0.0305) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4600 K","0","6331","172.8° @ 24fps","24","COOKE S4 753","40.0 mm","2.8","5.57 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:49:16.20","11:53:40.15","77428208636","SR006","6331","4.00.00","753","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","FNR-KCJ-LQC","https://shotid.net/FNR-KCJ-LQC"
"X","No Label","Extracted","A_0011C002_250527_105732_h1CBB","A_0011_1CBB","A_","20250527","SD006","ENT","301","118A","03","259","LOG","106_C","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4600 K","0","6219","172.8° @ 24fps","24","COOKE S4 753","40.0 mm","2.8","5.84 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:58:12.15","12:02:31.18","77056365528","SR006","6219","4.00.00","753","ARRI ALEXA 35","","J6P-T6S-HUJ","https://shotid.net/J6P-T6S-HUJ"
"","No Label","","A_0011C003_250527_110328_h1CBB","A_0011_1CBB","A_","20250527","SD006","ENT","301","","","55","106_C","106_C","(1.0624 1.0654 1.0725) (-0.0205 -0.0235 -0.0305) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4600 K","0","1309","172.8° @ 24fps","24","COOKE S4 753","40.0 mm","2.8","8.99 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","12:04:08.16","12:05:03.05","17413959944","","1309","4.00.00","753","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","U8E-7UC-DW5","https://shotid.net/U8E-7UC-DW5"
"","No Label","","A_0011C004_250527_111319_h1CBB","A_0011_1CBB","A_","20250527","SD006","ENT","301","118B","01","264","106_C","106_C","(1.0624 1.0654 1.0725) (-0.0205 -0.0235 -0.0305) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4600 K","0","6346","172.8° @ 24fps","24","COOKE S4 949","65.0 mm","2 8/10","5.51 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","12:14:00.01","12:18:24.11","78301139964","SR006","6346","4.00.00","949","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","6ST-HBZ-N3J","https://shotid.net/6ST-HBZ-N3J"
"","No Label","","A_0011C005_250527_112126_h1CBB","A_0011_1CBB","A_","20250527","SD006","ENT","301","118B","02","195","106_C","106_C","(1.0624 1.0654 1.0725) (-0.0205 -0.0235 -0.0305) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","4600 K","0","4675","172.8° @ 24fps","24","COOKE S4 949","65.0 mm","2 8/10","5.75 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","12:22:06.11","12:25:21.06","57468990208","SR006","4675","4.00.00","949","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","YN9-888-3VF","https://shotid.net/YN9-888-3VF"
